Domain,Topic,State,Note
njfishandwildlife.com,,,"Division of Fish and Wildlife, NJ Department of Environmental Protection -- Note added 6/7/13 11:33"
njstatelib.org,,new jersey,New Jersey State Library -- Note added 7/26/13 16:17
njsurcharge.com,,new jersey,New Jersey Surcharge Violation System (NJSVS) -- Note added 9/16/15 15:53
njuifile.net,,,Department of Labor and Workforce Development   -- Note added 9/16/15 15:53
nmlottery.com,,new mexico,New Mexico Lottery -- Note added 6/12/13 14:20
nmtracking.org,public health,new mexico,New Mexico Environmental Public Health Tracking -- Note added 10/24/14 12:11
nmwic.org,,new mexico,"Special Supplemental Nutrition Program for New Mexico Women, Infants & Children -- Note added 1/10/14 19:17"
nutritionnc.com,nc division,,"Nutrition Services Branch, Women's and Children's Health, NC Division of Public Health, NCDepartment of Health and Human Services  -- Note added 3/20/14 16:33"
nvaging.net,health human,nevada,"Aging and Disability Services Division, Department of Health and Human Services, State of Nevada -- Note added 6/17/13 15:40"
nycom.org,,new york,New York State Conference of Mayors and Municipal Officials (NYCOM) -- Note added 7/2/15 10:49
nyhistory.org,historical society,new york,New York Historical Society Museum and Library -- Note added 7/2/15 10:50
nysca.org,,new york,New York State Council on the Arts -- Note added 7/2/15 10:51
nysegov.com,state agencies,new york,New York State eGovernment listing of state agencies -- Note added 9/25/13 15:35
nysfair.org,,new york,New York State Fair -- Note added 6/12/13 18:48
nyshcr.org,,new york,New York State Homes and Community Renewal -- Note added 9/9/15 13:48
nyslgitda.org,,new york,New York State Local Government IT Directors Association (NYSLGITDA) -- Note added 7/2/15 10:59
nytrooper.com,,new york,New York State Police Recruitment Center -- Note added 1/3/14 13:14
occeweb.com,,,OK Corporation Commission -- Note added 8/28/15 18:20
oha.org,,hawaii,"Office of Hawaiian Affairs - 'Under the direction of nine trustees elected statewide, OHA has functioned operationally as both a government agency with a strong degree of autonomy, and as a trust.' -- Note added 6/12/13 13:27"
ohiobwc.com,,ohio,Ohio Bureau of Workers' Compensation -- Note added 3/26/14 18:21
ohiohumanities.org,,ohio,Ohio Humanities Council -- Note added 3/26/14 18:28
ohiolottery.com,,ohio,Ohio Lottery -- Note added 6/12/13 14:22
ohiorecorders.com,,ohio,Ohio Recorders' Association -- Note added 3/26/14 18:36
ohs.org,historical society,oregon,Oregon Historical Society -- Note added 6/20/14 7:38
okcareertech.org,,,OK career tech website -- Note added 8/28/15 18:21
okdhs.org,human services,,OK dept of human services -- Note added 8/28/15 18:21
oklibshare.org,,oklahoma,"OKLibShare, Oklahoma Department of Libraries -- Note added 8/27/15 16:00"
oklpgas.org,,,OK LP Gas commission -- Note added 8/28/15 18:22
olmsteadva.com,,virginia,State of Virginia Olmstead Initiative -- Note added 8/27/15 14:13
omlohio.org,,ohio,Ohio Municipal League -- Note added 3/26/14 18:40
onencnaturally.org,,north carolina,"Office of Land and Water Stewardship, a non-regulatory division within North Carolina's DENR that provides information and assistance to support effective conservation and resilient communities.  -- Note added 11/12/15 12:36"
oregonartscommission.org,,oregon,Oregon Arts Commission -- Note added 6/20/14 7:34
oregonfilm.org,,oregon,Oregon Governor's Office of Film and Television -- Note added 3/20/14 16:53
oregonlottery.org,,oregon,Oregon Lottery -- Note added 6/12/13 14:22
oregonstatefair.org,,oregon,Oregon State Fair -- Note added 6/20/14 7:22
origins.ou.edu,,oklahoma,"The Oklahoma Resources Integration General Information Network System (Origins) is an online database which contains economic, social, and demographic data intended for use by community leaders, educators, businesses, government agencies, and decision makers. -- Note added 8/28/15 18:22"
osbckansas.org,office state,kansas,Office of the State Bank Commissioner of Kansas -- Note added 7/10/14 6:29
oscn.net,,,OK State Court System -- Note added 8/28/15 18:23
ospmd.org,office state,maryland,Office of the Maryland State Prosecutor -- Note added 5/27/14 3:40
p2pays.org,,north carolina,North Carolina Division of Environmental Assistance and Customer Service   -- Note added 9/15/15 17:43
pacast.com,,pennsylvania,Commonwealth of Pennsylvania's media hub -- Note added 6/6/13 18:08
pacourts.us,,pennsylvania,Unified Judicial System of Pennsylvania -- Note added 1/10/14 15:20
paehealth.com,,,PA eHealth Partnership Authority -- Note added 6/7/13 11:53
pafirstnet.com,,pennsylvania,Pennsylvania FirstNet. See also http://www.ntia.doc.gov/sligp/pennsylvania.  -- Note added 9/24/14 16:11
palaugov.org,,palau,Republic of Palau National Government -- Note added 6/7/13 18:27
palausupremecourt.net,,palau,Palau Judiciary Branch -- Note added 5/27/14 15:03
paonews.net,,georgia,Georgia State Defense Force public affairs office. Website mirrored on gasdf.com. Referenced on https://ga.ng.mil/Leadership/Georgia-State-Defense-Force/.
parkswildlifefoundation.org,,south dakota,South Dakota Parks & Wildlife Foundation -- Note added 7/17/14 5:50
passhe.edu,higher education,,PA State System of Higher Education -- Note added 6/7/13 11:53
patientsafetyauthority.org,,,PA Patient Safety Authority -- Note added 6/7/13 11:53
paturnpike.com,,pennsylvania,Pennsylvania Turnpike Commission -- Note added 10/1/14 18:05
phc4.org,,,PA Health Care Cost Containment Council -- Note added 6/7/13 11:53
pheaa.org,higher education,,PA Higher Education Assistance Agency -- Note added 6/7/13 11:53
phefa.org,,,PA Higher Educational Facilities Authority -- Note added 6/7/13 11:53
phfa.org,,,PA Housing Finance Agency -- Note added 6/7/13 11:53
phwd.net,,mississippi,"Pat Harrison Waterway District (PHWD), a Mississippi State Agency that provides camping, cabins and recreational facilities in Mississippi -- Note added 1/13/14 20:28"
port-of-charleston.com,,south carolina,South Carolina Ports Authority -- Note added 6/6/13 18:08
portofvirginia.com,,virginia,The Port of Virginia -- Note added 7/14/14 17:09
potatoes.com,,washington,Washington State Potato Commission -- Note added 11/17/14 7:11
preserveala.org,,alabama,"Alabama Historical Commission, State of Alabama Historic Preservation Office -- Note added 7/15/13 18:19"
qaronline.org,,north carolina,"Queen Anne's Revenge, a project of the http://www.qaronline.org/ North Carolina Department of Cultural Resources to educate the next generation on colonial life -- Note added 11/20/13 17:34"
qis.net/~uef,,maryland,"Uninsured Employers' Fund, State of Maryland -- Note added 11/20/13 17:37"
rd.okstate.edu,,,OK State AG Econ at OSU -- Note added 8/28/15 18:25
readync.org,nc department,,"Ready NC, NC Department of Public Safety -- Note added 1/14/14 14:35"
readypa.org,,pennsylvania,"Ready PA, Pennsylvania Emergency Management Agency -- Note added 4/16/14 15:38"
red-raspberry.org,,washington,Washington Red Raspberry Commission -- Note added 11/17/14 7:07
refrigerationboard.org,state board,,The State Board of Refrigeration Examiners -- Note added 9/15/15 17:47
rehabworks.org,department education,florida,Division of Vocational Rehabilitation - Florida Department of Education -- Note added 7/1/15 18:43
ricwfa.com,,rhode island,Rhode Island Clean Water Finance Agency -- Note added 1/27/14 19:35
riinspection.org,,rhode island,Rhode Island Emissions and Safety Testing -- Note added 1/7/14 18:45
rilot.com,,rhode island,Rhode Island Lottery -- Note added 6/7/13 18:46
ripuc.org,,rhode island,Rhode Island Public Utilities Commission -- Note added 1/29/14 15:24
ritba.org,,rhode island,Rhode Island Turnpike and Bridge Authority -- Note added 1/27/14 15:54
rmi-op.net,,marshall islands,"Office of the President, Republic of the Marshall Islands -- Note added 6/12/13 13:31"
safemt.com,,montana,"SafeMT, a resource of the Montana State Fund for safety in Montana's workplaces. -- Note added 11/18/13 16:35"
safesurrender.net,,,NC Safe Haven Law - Abandoned Infant Protection Law Site -- Note added 9/15/15 17:54
sahp.vcu.edu/vcoa,,virginia,"The website of the Virginia Center on Aging (VCoA), a statewide agency created by the Virginia General Assembly and housed at Virginia Commonwealth University in the School of Allied Health Professions. VCoA works to protect and improve the quality of life of older Virginians, so that they might remain interdependent and contributing members to life in Virginia. -- Note added 6/27/14 14:23"
santeecooper.com,,south carolina,"Santee Cooper, also known officially from the 1930s as the South Carolina Public Service Authority, is South Carolina's state-owned electric and water utility that came into being during the New Deal. -- Note added 8/25/14 16:04"
saonm.org,office state,new mexico,New Mexico Office of the State Auditor -- Note added 7/16/14 5:38
savewaternc.org,,,Save Water NC -- Note added 11/12/15 12:34
sbafla.com,state board,florida,"Florida State Board of Administration, created by the Florida Constitution and is governed by a three-member Board of Trustees (Trustees), comprised of the Governor as Chair, the Chief Financial Officer and the Attorney General. -- Note added 8/25/14 16:59"
sbctc.ctc.edu,state board,washington,Washington State Board for Community and Technical Colleges -- Note added 4/8/14 18:22
scbwa.org,,,"State College Borough Water Authority, PA -- Note added 10/1/14 20:16"
sccommerce.com,,,SC dept of commerce -- Note added 8/28/15 15:19
sccourts.org,,,SC judicial courts -- Note added 8/28/15 15:19
scdmvonline.com,,,SC DMV -- Note added 8/28/15 15:20
sceducationlottery.com,,south carolina,South Carolina Education Lottery -- Note added 6/12/13 14:24
scemd.org,,south carolina,South Carolina Emergency Management Division -- Note added 8/28/15 15:20
scfirststeps.org,,,SC early childhood education program -- Note added 8/28/15 15:20
scgovernorsmansion.org,,,SC Gov Mansion  -- Note added 8/28/15 15:23
scgssm.org,,,SC govoners school for science and math -- Note added 8/28/15 15:23
scguard.com,national guard,,SC National Guard -- Note added 8/28/15 15:24
schev.edu,higher education,virginia,"The State Council of Higher Education for Virginia (SCHEV) makes higher education public policy recommendations to the Governor and General Assembly in such areas as capital and operating budget planning, enrollment projections, institutional technology needs, and student financial aid. -- Note added 6/27/14 14:25"
schoolclearinghouse.org,department public,north carolina,"School Planning Section, North Carolina Department of Public Instruction -- Note added 8/25/14 15:01"
scilconline.org,,south carolina,South Carolina Independent Living Council (SCILC) -- Note added 9/22/15 15:16
scilconlineblog.org,,south carolina,South Carolina Independent Living Council (SCILC) -- Note added 9/22/15 15:17
scinbre.org,,south carolina,"The South Carolina EPSCoR/IDeA Program, CCCR COBRE, and the USC School of Medicine Instrumentation Resource Facility -- Note added 8/28/15 15:28"
scpcf.com,,,SC malpractice patient compensation fund -- Note added 8/28/15 15:27
scsdb.org,,south carolina,South Carolina School for the Deaf and Blind -- Note added 8/25/14 15:03
scsilc.com,,south carolina,South Carolina Statewide Independent Living Council (SILC) -- Note added 9/22/15 15:19
scsos.com,,,SC sec of state -- Note added 8/28/15 15:29
sctax.org,,south carolina,South Carolina Department of Revenue -- Note added 8/25/14 15:04
sctuitiongrants.com,,south carolina,South Carolina Higher EducationTuition Grants Commission -- Note added 8/28/15 15:30
scvotes.org,,,SC State Election Committee -- Note added 8/28/15 15:30
scvrd.net,,,SC Vocab Rehab -- Note added 8/28/15 15:31
sddot.com,department transportation,south dakota,South Dakota Department of Transportation -- Note added 7/17/14 5:53
sdhda.org,development authority,south dakota,South Dakota Housing Development Authority -- Note added 7/17/14 5:54
seanc.org,,north carolina,STATE EMPLOYEES ASSOCIATION OF NORTH CAROLINA -- Note added 9/15/15 17:56
seekingmichigan.org,,michigan,"Seeking Michigan, the online platform for the http://michigan.gov/mhc Michigan Historical Center. It includes http://www.michigan.gov/archivesofmi Archives of Michigan research guides and indexes, a blog, and educator resources&ndash;all from the Michigan Historical Center and Archives of Michigan staff. -- Note added 7/9/14 12:06"
senate.mn,,minnesota,Minnesota Senate -- Note added 11/9/15 20:36
servicearizona.com,department transportation,arizona,"Authorized Service Website for the Arizona Department of Transportation, Motor Vehicle Division -- Note added 1/10/14 19:17"
shipmspa.com,,mississippi,Mississippi State Port Authority -- Note added 7/25/14 20:50
shpnc.org,,north carolina,North Carolina State Health Plan for Teachers and State Employees -- Note added 7/25/14 15:10
sled.alaska.edu,,,SLED (Statewide Library Electronic Doorway) -- Note added 6/6/13 18:08
slph.ncpublichealth.com,public health,,"State Laboratory of Public Health, NC Division of Public Health -- Note added 7/26/13 15:11"
smv.org,,virginia,"Science Museum of Virginia, located in Richmond, VA -- Note added 7/11/14 18:43"
sosnc.com,,,NC Secretary Of State -- Note added 9/15/15 17:58
southcarolinaarts.com,,south carolina,south carolina arts commission -- Note added 8/28/15 15:32
southcarolinahistoricalsociety.org,historical society,south carolina,south carolina historical society -- Note added 8/28/15 15:32
spsba.org,,,PA State Public School Building Authority -- Note added 6/7/13 11:53
srbc.net,,maryland,"Susquehanna River Basin Commission - The Susquehanna River Basin Compact, was signed into law on December 24, 1970. The Compact, as adopted by the Congress of the United States, and the legislatures of New York State, Pennsylvania and Maryland, provides the mechanism to guide the conservation, development, and administration of the water resources of the vast river basin. -- Note added 6/26/13 16:30"
startsquad.org,,north carolina,"Start Squad, kid's portal to the State Library of North Carolina -- Note added 8/25/14 12:12"
startwithyourheart.com,,north carolina,North Carolina's Justus-Warren Heart Disease and Stroke Prevention Task Force -- Note added 11/10/15 20:35
state.ak.us,pattern include,alaska,"*state.ak.us pattern to include Alaska state agencies, such as those at: https://www.google.com/#q=site:state.ak.us  -- Note added 7/8/14 12:25"
state.al.us,pattern include,alabama,"*state.al.us pattern to include Alabama state agencies, such as those at: https://www.google.com/#q=site:state.al.us  -- Note added 7/8/14 12:26"
state.ar.us,state agencies,arkansas,*state.ar.us pattern for State of Arkansas agencies -- Note added 7/17/13 19:01
state.az.us,pattern include,arizona,"*state.az.us pattern to include Arizona state agencies, such as those at https://www.google.com/#q=site:state.az.us.  -- Note added 12/13/13 13:17"
state.ca.us,pattern include,california,"*state.ca.us pattern to include California state agencies, such as those at: https://www.google.com/#q=site:state.ca.us  -- Note added 6/27/14 16:14"
state.co.us,,,"Included to find *.state.co.us pattern to find state websites, such as https://www.google.com/search?q=site%3Astate.co.us  -- Note added 1/14/14 15:07"
state.fl.us,pattern include,florida,"*state.fl.us pattern to include Florida state agencies, such as those at: https://www.google.com/#q=site:state.fl.us   -- Note added 6/27/14 16:15"
state.ga.us,,,State of Ga website -- Note added 8/25/15 16:09
state.ia.us,,iowa,State of Iowa -- Note added 8/26/15 13:51
state.id.us,,,Pattern for *state.id.us websites -- Note added 7/8/13 19:27
state.il.us,,illinois,State of Illinois -- Note added 7/3/14 17:38
state.in.us,,indiana,state of  Indiana -- Note added 8/27/15 14:57
state.ky.us,,,Ky Website -- Note added 8/27/15 16:57
state.lib.la.us,,louisiana,State Library of Louisiana -- Note added 7/26/13 16:18
state.ma.us,,,Mass State Website -- Note added 8/26/15 16:22
state.md.us,pattern include,maryland,"State website is at http://www.maryland.gov. state.md.us pattern to include Maryland state agencies, such as those at https://www.google.com/#q=site:state.md.us. -- Note added 7/23/14 16:07"
state.me.us,,maine,state of maine -- Note added 8/27/15 20:01
state.mi.us,,michigan,state of michigan -- Note added 9/3/15 16:11
state.mn.us,,minnesota,Minnesota.gov portal; 'electronic entry point to Minnesota State government information and services' -- Note added 6/2/15 1:37
state.ms.us,,mississippi,State of Mississippi -- Note added 7/8/14 12:53
state.ne.us,pattern include,,*.state.ne.us pattern to include several state agencies. -- Note added 12/9/13 18:31
state.nh.us,,,NH State Website -- Note added 9/2/15 19:11
state.nj.us,pattern include,new jersey,"http://www.state.nj.us/ and http://www.nj.gov both resolve to the same site. n*state.nj.us pattern to include New Jersey state agencies, such as those at: https://www.google.com/#q=site:state.nj.us  -- Note added 7/8/14 13:04"
state.nm.us,,new mexico,State of New Mexico -- Note added 7/16/14 5:42
state.oh.us,,ohio,State of Ohio -- Note added 3/27/14 18:36
state.ok.us,,,State of OK website -- Note added 8/28/15 18:27
state.or.us,state agencies,oregon,"http://www.state.or.us/ resolves to a non-styled version of http://www.oregon.gov/  n*state.or.us pattern included here to find State of Oregon agencies, such as: https://www.google.com/search?q=site:state.or.us -- Note added 7/17/14 17:40"
state.sc.us,,,State of SC  -- Note added 8/28/15 15:35
state.sd.us,,south dakota,South Dakota State Government Website -- Note added 7/17/14 6:01
state.tn.us,,tennessee,Official site of the Tennessee Government -- Note added 6/26/14 13:27
state.va.us,,virginia,The official website of the Commonwealth of Virginia -- Note added 6/27/14 14:50
state.vt.us,,,State of Vermont -- Note added 8/15/14 14:27
state.wa.us,,washington,State of Washington -- Note added 11/17/14 6:48
state.wi.us,,,"*.state.wi.us pattern is included here for various Department-level agencies, such as those at: https://www.google.com/search?q=site%3Astate.wi.us  Requires 'www' to resolve. -- Note added 4/2/14 12:49"
state.wy.us,travel tourism,wyoming,State of Wyoming travel and tourism website -- Note added 7/23/14 5:34
statefair.org,,nebraska,Nebraska State Fair -- Note added 12/6/13 19:53
statenislandusa.com,,new york,"Staten Island Borough President, New York, NY -- Note added 11/20/13 18:23"
surpluspropertydivision.com,nc division,,NC Division of Surplus Property -- Note added 9/15/15 18:02
sustainablenc.org,,,NC sustainability connection -- Note added 9/15/15 18:06
teach4nc.com,,north carolina,"Welcome to Teach4NC, dedicated to the recruitment of teaching professionals for public schools in North Carolina. -- Note added 9/15/15 18:19"
tennesseeholocaustcommission.org,,tennessee,Tennessee Holocaust Commission -- Note added 6/26/14 7:22
texasbar.com,,texas,State Bar of Texas -- Note added 6/20/14 16:58
tfli.org,,tennessee,Tennessee Foreign Language Institute -- Note added 6/26/14 7:21
thda.org,,tennessee,Tennessee Housing Development Agency -- Note added 6/26/14 7:19
thinkkentucky.com,economic development,kentucky,kentucky cabinet of economic development -- Note added 8/27/15 16:58
tmrs.org,,texas,Texas Municipal Retirement System (TMRS)  -- Note added 8/18/14 16:14
tndagc.org,,tennessee,Tennessee District Attorneys General Conference -- Note added 6/26/14 7:16
tnema.org,,tennessee,Tennessee Emergency Management Agency -- Note added 6/26/14 7:15
tnlottery.com,,tennessee,Lottery Tennessee -- Note added 6/12/13 14:26
tnmilitary.org,national guard,tennessee,Tennessee National Guard -- Note added 6/26/14 7:13
tnvacation.com,travel tourism,tennessee,"Tennessee Vacation, the travel and tourism site for the state of Tennessee -- Note added 8/18/14 15:23"
tpwmagazine.com,,texas,Texas Parks and Wildlife magazine -- Note added 3/20/14 16:35
travelalaska.com,travel tourism,alaska,Travel and Tourism Site for Alaska -- Note added 6/6/13 19:44
traveliowa.com,travel tourism,iowa,Travel and Tourism Site for Iowa -- Note added 6/6/13 19:44
travelks.com,travel tourism,kansas,Travel and Tourism Site for Kansas -- Note added 6/6/13 19:44
travelnevada.com,travel tourism,nevada,Travel and Tourism Sites for Nevada -- Note added 6/6/13 19:11
travelok.com,travel tourism,oklahoma,Travel and Tourism Sites for Oklahoma -- Note added 6/6/13 19:11
traveloregon.com,travel tourism,oregon,"Travel and Tourism Site for Oregon, Oregon Tourism Commission -- Note added 7/23/14 16:09"
travelsd.com,travel tourism,south dakota,Travel and Tourism Sites for South Dakota -- Note added 6/6/13 19:11
traveltex.com,travel tourism,texas,Travel and Tourism Sites for Texas -- Note added 6/6/13 19:11
travelwisconsin.com,travel tourism,wisconsin,Travel and Tourism Sites for Wisconsin -- Note added 6/6/13 19:11
treasurer.org,,nebraska,Nebraska State Treasurer -- Note added 12/6/13 20:03
treefruitresearch.com,,washington,Washington Tree Fruit Research Commission -- Note added 11/12/14 6:37
tsa-wa.org,,washington,Washington State Tobacco Settlement Authority -- Note added 4/8/14 18:29
txlottery.org,,texas,Texas Lottery -- Note added 6/12/13 14:26
uaex.edu,cooperative extension,arkansas,"University of Arkansas, Division of AgricultureResearch & Extension, University of Arkansas System Arkansas Cooperative Extension Service -- Note added 12/10/14 7:11"
uaf.edu/ces/,cooperative extension,alaska,University of Alaska Fairbanks Cooperative Extension Service -- Note added 6/7/13 16:34
uidaho.edu/extension,university extension,idaho,University of Idaho Extension -- Note added 7/8/13 14:29
usviber.org,,virgin islands,U.S. Virgin Islands Bureau of Economic Research -- Note added 8/18/14 14:14
usvieda.org,economic development,virgin islands,U.S. Virgin Islands Economic Development Authority -- Note added 8/18/14 14:12
uvm.edu/extension,university extension,,University of Vermont Extension -- Note added 8/18/14 5:33
uwex.edu,university extension,wisconsin,University of Wisconsin-Extension -- Note added 8/12/14 5:36
uwyo.edu/CES,cooperative extension,wyoming,University of Wyoming Cooperative Extension Service -- Note added 7/23/14 5:39
va-src.org,,virginia,Virginia State Rehabilitation Council (SRC) -- Note added 8/27/15 14:12
vaao.org,,virginia,"The Virginia Association of Assessing Officers is a professional organization of assessors and appraisers from state and local governments throughout the Commonwealth. The organization's mission is to improve assessment standards, disseminate information on assessment practices, and provide continuing education to its members. -- Note added 7/11/14 18:56"
vaboard.org,,virginia,Virginia Board for People with Disabilities -- Note added 7/11/14 18:57
vacni.org,trust fund,virginia,Virginia Commonwealth Neurotrauma Initiative (CNI) Trust Fund -- Note added 9/3/15 11:28
vadars.org,,virginia,Virginia Department for Aging and Rehabilitative Services -- Note added 8/27/15 14:22
vadrs.org,,virginia,Virginia Department for Aging and Rehabilitative Services -- Note added 6/6/13 18:09
vadsa.org,,virginia,Virginia Disability Services Agencies -- Note added 7/14/14 16:54
vafire.com,,virginia,Virginia Department of Fire Programs -- Note added 6/12/13 18:15
valottery.com,,virginia,Virginia Lottery -- Note added 6/12/13 14:27
vasilc.org,,virginia,Virginia Statewide Independent Living Council -- Note added 9/3/15 11:14
vats.org,,virginia,Virginia Assistive Technology System -- Note added 7/11/14 19:06
vcef.net,,virginia,Virginia Career Education Foundation is a non-profit organization that works to increase the number of qualified applicants available to fill technical positions throughout the Commonwealth of Virginia. -- Note added 7/11/14 19:07
vdbvi.org,,virginia,Virginia Department for the Blind and Vision Impaired -- Note added 7/11/14 19:09
vddhh.org,,virginia,Virginia Department for the Deaf and Hard of Hearing (VDDHH) -- Note added 7/11/14 19:09
vendor.ncgov.com,,north carolina,State of North Carolina's Vendor Registration -- Note added 1/14/14 13:04
vermontartscouncil.org,,,Vermont Arts Council -- Note added 8/18/14 5:35
vermonthistory.org,historical society,,Vermont Historical Society -- Note added 8/18/14 5:36
VermontVacation.com,travel tourism,,Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19
vhda.com,development authority,virginia,Virginia Housing Development Authority -- Note added 7/11/14 19:10
vhfa.org,,,Vermont Housing Finance Agency -- Note added 8/18/14 5:37
vhib.org,economic development,virginia,The Virginia Horse Industry Board is responsible for the promotion and economic development of the horse industry in Virginia and operates through the Virginia Department of Agriculture and Consumer Services. -- Note added 7/11/14 19:12
vibonline.org,,virginia,"Virginia Industries for the Blind, Commonwealth of Virginia -- Note added 9/3/15 11:46"
vide.vi,department education,virgin islands,Virgin Islands Department of Education -- Note added 8/18/14 14:08
viig.org,,virgin islands,Office of the Virgin Islands Inspector General -- Note added 8/18/14 14:13
vipd.gov.vi,,virgin islands,U.S. Virgin Islands Police Department -- Note added 8/18/14 14:16
virginia.org,travel tourism,virginia,Travel and Tourism Sites for Virginia -- Note added 6/6/13 19:11
virginia529.com,,virginia,Virginia College Savings Plan -- Note added 7/11/14 19:18
virginiaallies.org,economic development,virginia,Virginia Economic Development Partnership's Ally Information Exchange -- Note added 7/11/14 20:17
virginiadot.org,department transportation,virginia,Virginia Department of Transportation -- Note added 7/11/14 20:18
virginiaresources.org,,virginia,Virginia Resources Authority -- Note added 7/11/14 20:19
visitcalifornia.com,travel tourism,california,Travel and Tourism Site for California -- Note added 8/27/13 12:59
visitcwc.com,,california,California Welcome Centers -- Note added 8/27/13 12:58
visitdelaware.com,travel tourism,delaware,Travel and Tourism Sites for Delaware -- Note added 6/6/13 19:11
visitflorida.com,travel tourism,florida,Travel and Tourism Site for Florida -- Note added 6/6/13 19:15
visitguam.org,travel tourism,guam,Travel and Tourism Sites for Guam -- Note added 6/6/13 19:11
visitidaho.org,travel tourism,idaho,Travel and Tourism Site for Idaho -- Note added 6/6/13 19:48
visitmaine.com,travel tourism,maine,Travel and Tourism Sites for Maine -- Note added 6/6/13 19:11
visitmaryland.org,travel tourism,maryland,Travel and Tourism Site for Maryland -- Note added 6/6/13 19:17
visitmississippi.org,travel tourism,mississippi,Travel and Tourism Sites for Mississippi -- Note added 6/6/13 19:11
visitmo.com,travel tourism,missouri,Travel and Tourism Site for Missouri -- Note added 6/6/13 19:34
visitmt.com,travel tourism,montana,Travel and Tourism Site for Montana -- Note added 6/6/13 19:33
visitnc.com,travel tourism,north carolina,Travel and Tourism Site for North Carolina -- Note added 6/6/13 19:33
visitnebraska.com,travel tourism,nebraska,Travel and Tourism Site for Nebraska -- Note added 6/6/13 19:33
visitpa.com,travel tourism,pennsylvania,Travel and Tourism Site for Pennsylvania -- Note added 6/6/13 19:32
visitrhodeisland.com,travel tourism,rhode island,Travel and Tourism Site for Rhode Island -- Note added 6/6/13 19:32
visitusvi.com,travel tourism,virgin islands,Travel and tourism site for the US Virgin Islands -- Note added 6/6/13 19:47
visitutah.com,travel tourism,utah,Travel and Tourism Site for Utah -- Note added 6/6/13 19:31
visupremecourt.org,,virgin islands,Supreme Court of the United States Virgin Islands -- Note added 8/18/14 14:06
vivaflorida.org,,florida,"Viva Florida 500 is a statewide initiative led by the Florida Department of State, under the leadership of Governor Rick Scott, to highlight the 500 years of historic people, places and events in present-day Florida since the arrival of Juan Ponce de Leon to the land he named La Florida in 1513. See more at http://www.vivaflorida.org/About-Viva-Florida/ -- Note added 7/23/14 14:01"
vmnh.net,,virginia,"Virginia Museum of Natural History in Martinsville, VA -- Note added 7/11/14 20:20"
volunteerflorida.org,,florida,Florida Governor's Commission on Volunteerism and Community Service -- Note added 11/9/15 19:00
volunteermississippi.org,,mississippi,"Volunteer Mississippi, A Mississippi Commission for Volunteer Service (MCVS) -- Note added 7/28/14 14:58"
volunteernc.org,,north carolina,North Carolina Commission on Volunteerism and Community Service -- Note added 11/10/15 20:34
vrcbvi.org,,virginia,Virginia Rehabilitation Center for the Blind and Vision Impaired -- Note added 8/27/15 15:09
vrwa.org,,virginia,Virginia Rural Water Association -- Note added 7/23/13 19:42
vsb.org,,virginia,Virginia State Bar -- Note added 7/11/14 20:21
vtguard.com,national guard,,Vermont National Guard -- Note added 1/23/14 14:03
vtlottery.com,,,Vermont Lottery -- Note added 6/12/13 14:27
wablueberrycomm.org,,washington,Washington Blueberry Commission -- Note added 11/12/14 6:30
wahardwoodscomm.com,,washington,Washington Hardwoods Commission -- Note added 11/12/14 6:29
walottery.com,,washington,Washington State Lottery -- Note added 12/2/14 7:23
waseedpotato.com,,washington,Washington State Seed Potato Commission -- Note added 11/12/14 6:26
washington.org,travel tourism,district of columbia,Travel and Tourism Site for the District of Columbia -- Note added 6/6/13 19:31
washingtonairguard.org,national guard,washington,Washington Air National Guard -- Note added 1/3/14 13:08
washingtonarmyguard.org,national guard,washington,Washington Army National Guard -- Note added 1/23/14 14:03
washingtonguard.org,national guard,washington,Washington National Guard -- Note added 1/23/14 14:03
washingtonwine.org,,washington,Washington State Wine Commission -- Note added 11/12/14 6:23
waspc.org,,washington,Washington Association of Sheriffs and Police Chiefs -- Note added 11/12/14 6:22
waterparkin.com,,mississippi,"Waterparkin', a website of the Pat Harrison Waterway District (PHWD) a Mississippi State Agency that provides camping, cabins and recreational facilities in Mississippi. See historical snaphot at: http://web.archive.org/web/20101224004547/http://waterparkin.com/  -- Note added 1/13/14 20:28"
waywelivednc.com,,north carolina,"The Way We Lived in North Carolina, presented by http://www.ah.dcr.state.nc.us/ The North Carolina Office of Archives & History. -- Note added 8/13/14 17:41"
wdfi.org,,wisconsin,State of Wisconsin Department of Financial Institutions -- Note added 8/11/14 5:34
web.uri.edu/riaes/extension,cooperative extension,rhode island,University of Rhode Island Cooperative Extension -- Note added 6/7/13 18:31
wedfa.org,economic development,washington,Washington Economic Development Finance Authority -- Note added 11/12/14 6:21
whb.ncpublichealth.com,nc division,,"Women's Health Branch, NC Division of Public Health -- Note added 7/26/13 15:11"
wheda.com,economic development,wisconsin,Wisconsin Housing and Economic Development Authority -- Note added 8/11/14 5:30
whefa.org,higher education,washington,Washington Higher Education Facilities Authority -- Note added 4/8/14 18:33
wildlifedepartment.com,,oklahoma,Oklahoma Department of Wildlife Conservation - http://www.wildlifedepartment.com/  -- Note added 10/29/13 15:11
wilottery.com,,wisconsin,Wisconsin Lottery -- Note added 6/12/13 14:28
winusvilottery.com,,virgin islands,Virgin Islands Lottery -- Note added 6/12/13 14:29
wisconsinhistory.org,historical society,wisconsin,Wisconsin Historical Society -- Note added 8/11/14 5:26
